Riser Length,Stretch,Slack
0,0.031010695,0.031010695
3.936,0.259810429,0.183986902
10.824,0.549716512,0.377409111
16.728,1.066327156,0.694242912
22.95904373,120.27845,71.34281403
29.5171312,140.172794,78.59088097
36.07521866,78.31122978,66.09124135
42.63330612,43.89280361,55.92006577
49.19139359,54.50330772,47.61560616
55.74948105,63.38127217,40.81121217
62.30756851,67.73445997,35.2131056
68.86565598,69.52018464,30.58610174
75.42374344,69.8578215,26.7368737
81.9818309,69.38255444,23.50242537
88.53991837,68.45827472,20.74531863
95.09800583,67.29596115,18.34437412
101.6560933,66.02494643,16.27425117
