Stretch,,Slack,
Lateral Displacement,Heave,Lateral Displacement,Heave
217.7834504,6091.393206,214.8993695,6085.900401
219.7785143,6083.827021,215.1481761,6078.037882
221.3054457,6078.152447,215.3466074,6072.141047
222.8810251,6072.478238,215.5529498,6066.244322
224.7048728,6066.191939,215.8411833,6059.698099
226.7530282,6059.96643,216.3019085,6053.1627
228.8882203,6053.769663,216.9080812,6046.640982
231.0350579,6047.576237,217.6872495,6040.133107
233.1516985,6041.371712,218.5642798,6033.638563
235.215784,6035.148808,219.5243787,6027.156504
237.2160632,6028.904431,220.555397,6020.68594
239.1476047,6022.637819,221.6472637,6014.225854
241.0091043,6016.349446,222.7915178,6007.775252
242.8012695,6010.040402,223.9809155,6001.333182
244.5259358,6003.712045,225.2091125,5994.898738
246.1855082,5997.365811,226.4703927,5988.471042
247.7826339,5991.003113,227.7594497,5982.049215
249.3200359,5984.625289,229.0712828,5975.632404
250.8003944,5978.233588,230.4012203,5969.21978
252.2263022,5971.829154,231.7449446,5962.810551
253.6002276,5965.413038,233.098543,5956.403977
254.9245199,5958.986198,234.4585824,5949.999381
256.2014299,5952.549511,235.8221416,5943.596164
257.433094,5946.103781,237.1868837,5937.193814
258.6215725,5939.64974,238.5510624,5930.79191
259.7688339,5933.18806,239.913511,5924.390123
260.8783884,5926.719352,241.273609,5917.988214
261.9516445,5920.244173,242.631203,5911.586022
262.9887433,5913.763024,243.9864955,5905.183456
263.9928459,5907.27636,245.3399191,5898.780474
264.9664575,5900.78459,246.691996,5892.377064
265.9076942,5894.288084,248.043206,5885.973224
266.817956,5887.78718,249.3938809,5879.568943
267.6985745,5881.282187,250.7441052,5873.164184
268.5508338,5874.77339,252.0936844,5866.758871
269.3759681,5868.261059,253.4421061,5860.35288
270.1785377,5861.745443,254.7885541,5853.946039
270.9578651,5855.226775,256.1319487,5847.53813
271.7136738,5848.705267,257.4709794,5841.128894
272.4465754,5842.181117,258.8041848,5834.718043
273.1620833,5835.654506,260.1299935,5828.305272
273.8566353,5829.125598,261.4467959,5821.89027
274.5298324,5822.594543,262.7529742,5815.47273
275.1820052,5816.061477,264.0469641,5809.05236
275.8135255,5809.526524,265.3272708,5802.62889
276.4248424,5802.989799,266.592491,5796.202078
277.0164794,5796.451407,267.8413453,5789.771716
277.5890667,5789.911448,269.0726648,5783.337627
278.1433034,5783.370013,270.2853934,5776.89967
278.6799679,5776.827191,271.4785917,5770.45773
279.1998636,5770.283065,272.651416,5764.011727
279.7038228,5763.737712,273.8031197,5757.561604
280.1926642,5757.191207,274.9330459,5751.107327
280.6715779,5750.64362,276.0406067,5744.648887
281.1378127,5744.09502,277.1252839,5738.186286
281.5907567,5737.54547,278.1866097,5731.719545
282.0309572,5730.995032,279.2241526,5725.248693
282.4589383,5724.443765,280.2375075,5718.773769
282.8751891,5717.891723,281.2262823,5712.294816
283.2801516,5711.338958,282.1900869,5705.811882
283.6742369,5704.78552,283.1285368,5699.325017
284.0578201,5698.231453,284.0412535,5692.834278
284.4312554,5691.6768,284.92787,5686.339726
284.7948722,5685.121602,285.7880477,5679.841429
285.1489837,5678.565895,286.6214767,5673.339464
285.4938978,5672.009715,287.4278976,5666.833914
285.8299033,5665.453093,288.2071097,5660.324875
286.1572893,5658.89606,288.9589797,5653.812452
286.4763331,5652.338645,289.6834643,5647.296761
286.787316,5645.780871,290.3806034,5640.777927
287.0905026,5639.222764,291.0505353,5634.256086
287.3861596,5632.664345,291.6934883,5627.73138
287.6745313,5626.105632,292.3097819,5621.203957
287.9558653,5619.546645,292.8998227,5614.67397
288.2303869,5612.987398,293.4641042,5608.141571
288.4983233,5606.427907,294.0031839,5601.606916
288.7598903,5599.868185,294.5176772,5595.070156
289.0152871,5593.308243,295.0082449,5588.531441
289.2647136,5586.748093,295.4755702,5581.990912
289.5083495,5580.187744,295.9203474,5575.448706
289.7495849,5573.627206,296.3432777,5568.904951
289.9855298,5567.066485,296.7450442,5562.359767
290.2161847,5560.505591,297.1263095,5555.813267
290.4416681,5553.944528,297.4877152,5549.265556
290.6621012,5547.383304,297.8298727,5542.71673
290.8775862,5540.821924,298.1533747,5536.16688
291.0882298,5534.260395,298.4587857,5529.61609
291.2941268,5527.69872,298.7466506,5523.064437
291.4953664,5521.136905,299.0175019,5516.511996
291.6920403,5514.574954,299.2718653,5509.958833
291.8842309,5508.012873,299.5102585,5503.405014
292.0720192,5501.450665,299.7331988,5496.8506
292.2554821,5494.888335,299.9412043,5490.295645
292.4346876,5488.325887,300.134791,5483.740205
292.6097064,5481.763325,300.3144753,5477.184328
292.7805979,5475.200652,300.4831836,5470.628059
292.9474235,5468.637872,300.6456232,5464.071442
293.110233,5462.074989,300.7952485,5457.514515
293.2690743,5455.512006,300.9325146,5450.957314
293.4247522,5448.948926,301.0578613,5444.39987
293.5796609,5442.385752,301.1717222,5437.842214
293.7333514,5435.822487,301.2744996,5431.284371
293.8848149,5429.259133,301.3665793,5424.726366
294.0325229,5422.695695,301.4483243,5418.168221
294.1764879,5416.132172,301.5200697,5411.609955
294.3167266,5409.56857,301.582127,5405.051585
294.4532493,5403.004889,301.6347898,5398.49313
294.5860642,5396.441132,301.6823573,5391.934603
294.7151749,5389.877302,301.721978,5385.37602
294.8405835,5383.313399,301.7530234,5378.817393
294.9622833,5376.749427,301.7757177,5372.258735
295.08026,5370.185388,301.7902734,5365.700056
295.1945064,5363.621282,301.7968884,5359.141367
295.3050039,5357.057112,301.7957543,5352.582678
295.4117307,5350.49288,301.7870636,5346.023997
295.5146657,5343.928587,301.7710023,5339.465332
295.6137844,5337.364235,301.7477652,5332.906691
295.709055,5330.799826,301.7175549,5326.348079
295.8004473,5324.235361,301.6805795,5319.789502
