Stretch,,Slack,
295.8879282,5317.670843,301.6370465,5313.230965
295.9714594,5311.106273,301.5871697,5306.672473
296.0510087,5304.541653,301.5311664,5300.114029
296.126539,5297.976985,301.4692461,5293.555637
296.1980157,5291.41227,301.4016186,5286.9973
296.2654022,5284.847512,301.3284766,5280.439021
296.3286722,5278.282711,301.2500121,5273.880802
296.3877922,5271.717871,301.1663991,5267.322645
296.4427426,5265.152993,301.0778018,5260.764553
296.4935043,5258.58808,300.9843688,5254.206527
296.540057,5252.023134,300.8862378,5247.648569
296.5823971,5245.458158,300.7835407,5241.090679
296.6205132,5238.893155,300.6763915,5234.53286
296.6544069,5232.328126,300.5649088,5227.975112
296.6840783,5225.763076,300.4491986,5221.417434
296.7095363,5219.198006,300.3293692,5214.859828
296.7307916,5212.632919,300.2055328,5208.302294
296.7478547,5206.067818,300.0777968,5201.74483
296.760749,5199.502706,299.9462724,5195.187436
296.7694957,5192.937586,299.811083,5188.630111
296.774119,5186.37246,299.6723423,5182.072855
296.7746521,5179.807331,299.5301772,5175.515667
296.7711346,5173.242202,299.3847114,5168.958545
296.7636055,5166.677076,299.2360663,5162.401489
296.7521137,5160.111954,299.0843671,5155.844497
296.7367124,5153.54684,298.9297317,5149.287567
296.7174687,5146.981737,298.7722756,5142.7307
296.6944399,5140.416646,298.6121127,5136.173894
296.6677085,5133.851569,298.4493441,5129.617147
296.6373432,5127.286509,298.2840723,5123.06046
296.6034246,5120.721468,298.1163846,5116.503829
296.5660377,5114.156448,297.9463749,5109.947255
296.5252608,5107.591449,297.7741172,5103.390735
296.4811675,5101.026474,297.5996946,5096.83427
296.4338369,5094.461525,297.4231756,5090.277856
296.3833332,5087.896602,297.2446341,5083.721494
296.3297123,5081.331707,297.0641371,5077.165181
296.2730245,5074.76684,296.8817533,5070.608916
296.2133006,5068.202005,296.6975422,5064.052697
296.1505656,5061.637201,296.5115685,5057.496525
296.0848297,5055.07243,296.3238926,5050.940396
296.0160825,5048.507693,296.1345689,5044.38431
295.9443087,5041.942993,295.9436537,5037.828267
295.8694795,5035.37833,295.7512002,5031.272265
295.7915553,5028.813707,295.5572498,5024.716304
295.7105006,5022.249124,295.361852,5018.160383
295.6262656,5015.684585,295.1650394,5011.604503
295.5388083,5009.120091,294.9668509,5005.048662
295.4480868,5002.555644,294.7673114,4998.492862
295.3540617,4995.991246,294.566445,4991.937102
295.2567014,4989.426898,294.3642655,4985.381382
295.1559851,4982.862602,294.1607892,4978.825703
295.0518954,4976.298361,293.9560225,4972.270064
294.9444299,4969.734176,293.7499691,4965.714466
294.8335956,4963.170047,293.5426327,4959.15891
294.7194103,4956.605976,293.3340131,4952.603394
294.6019001,4950.041965,293.1241135,4946.04792
294.4810999,4943.478013,292.9129348,4939.492487
294.3570551,4936.914121,292.7004746,4932.937095
294.2298154,4930.35029,292.4867445,4926.381744
294.0994351,4923.78652,292.2717457,4919.826434
293.9659757,4917.22281,292.0554935,4913.271164
293.8294991,4910.659162,291.8379947,4906.715934
293.6900614,4904.095573,291.6192681,4900.160743
293.5477283,4897.532045,291.3993304,4893.605592
293.4025576,4890.968578,291.178198,4887.050479
293.2545992,4884.40517,290.9558908,4880.495404
293.1039066,4877.841823,290.7324334,4873.940366
292.950522,4871.278536,290.5078449,4867.385365
292.7944807,4864.71531,290.2821425,4860.830401
292.6358099,4858.152145,290.0553539,4854.275472
292.474533,4851.589042,289.8274929,4847.720579
292.3106591,4845.026002,289.5985803,4841.16572
292.1441938,4838.463026,289.368636,4834.610895
291.9751269,4831.900116,289.1376756,4828.056104
291.8034483,4825.337273,288.9057148,4821.501346
291.6291321,4818.774499,288.6727668,4814.946621
291.4521584,4812.211796,288.4388477,4808.391929
291.2724896,4805.649167,288.2039645,4801.837271
291.0900943,4799.086613,287.9681259,4795.282646
290.9049395,4792.524138,287.731341,4788.728055
290.716993,4785.961742,287.4936085,4782.1735
290.5262241,4779.399428,287.2549296,4775.618981
290.3326126,4772.837198,287.0152971,4769.0645
290.1361478,4766.275054,286.7747044,4762.510058
289.9368243,4759.712997,286.5331347,4755.955656
289.734654,4753.151028,286.2905709,4749.401296
289.5296588,4746.589146,286.0469902,4742.84698
289.3218755,4740.027354,285.8023687,4736.29271
289.1113536,4733.465649,285.5566784,4729.738485
288.8981596,4726.904031,285.3098925,4723.184309
288.6823622,4720.342499,285.0619812,4716.63018
288.4640507,4713.781051,284.8129211,4710.0761
288.2433147,4707.219685,284.5626894,4703.522069
288.0202555,4700.658399,284.3112681,4696.968086
287.7949747,4694.09719,284.0586531,4690.414151
287.5675772,4687.536056,283.8048378,4683.860263
287.3381621,4680.974994,283.5498306,4677.30642
287.1068299,4674.414001,283.2936425,4670.752622
286.8736729,4667.853074,283.0362989,4664.198868
286.6387713,4661.292213,282.777821,4657.645155
286.4022,4654.731414,282.5182451,4651.091483
286.1640252,4648.170675,282.2576045,4644.537851
285.9242911,4641.609996,281.9959333,4637.984257
285.6830386,4635.049375,281.7332652,4631.430702
285.4402946,4628.488812,281.4696269,4624.877185
285.1960731,4621.928307,281.2050485,4618.323706
284.9503805,4615.36786,280.9395442,4611.770265
284.7032109,4608.807471,280.6731268,4605.216862
284.4545481,4602.247141,280.4058017,4598.663498
284.2043753,4595.686871,280.1375676,4592.110173
283.9526637,4589.126663,279.8684173,4585.556886
283.6993899,4582.566519,279.5983396,4579.003639
283.4445176,4576.006439,279.3273228,4572.450431
283.1880208,4569.446425,279.0553564,4565.897263
282.9298644,4562.88648,278.7824278,4559.344134
282.6700201,4556.326604,278.5085309,4552.791045
282.408459,4549.766799,278.2336625,4546.237995
282.1451623,4543.207067,277.9578184,4539.684984
281.8801079,4536.647409,277.6810098,4533.132013
281.6132778,4530.087825,277.4032431,4526.579083
281.3446661,4523.528317,277.1245227,4520.026194
281.0742646,4516.968886,276.8448672,4513.473347
280.8020732,4510.409532,276.5642845,4506.920542
280.5280946,4503.850256,276.2827786,4500.367782
280.2523407,4497.291057,276.0003591,4493.815067
279.9748253,4490.731935,275.7170197,4487.2624
279.6955691,4484.172891,275.4327603,4480.709781
279.4145942,4477.613924,275.1475686,4474.157212
279.1319339,4471.055032,274.8614302,4467.604692
278.8476205,4464.496217,274.574331,4461.052224
278.5616927,4457.937475,274.2862502,4454.499806
278.2741989,4451.378807,273.9971774,4447.947439
277.9851873,4444.82021,273.7070955,4441.395121
277.6947112,4438.261682,273.4160005,4434.842851
277.4028315,4431.703223,273.123892,4428.290628
277.1096092,4425.144829,272.83078,4421.738449
276.8151168,4418.586497,272.5366746,4415.186313
276.5194216,4412.028226,272.2415991,4408.634218
276.2225995,4405.47001,271.9455867,4402.082162
275.9247282,4398.911848,271.6486713,4395.530144
275.6258815,4392.353734,271.3508869,4388.978161
275.32614,4385.795666,271.0522738,4382.426213
275.0255771,4379.237638,270.7528671,4375.874299
274.7242679,4372.679648,270.4527028,4369.322418
274.422282,4366.121691,270.1518071,4362.77057
274.1196847,4359.563764,269.8502067,4356.218757
273.8165316,4353.005863,269.5479124,4349.666977
273.5128815,4346.447986,269.2449317,4343.115231
273.20877,4339.890131,268.9412689,4336.56352
272.9042367,4333.332297,268.6369201,4330.011844
272.6020222,4326.774481,268.3318745,4323.460203
272.3042357,4320.216685,268.0261226,4316.908599
272.005901,4313.658907,267.7196485,4310.35703
271.7070515,4307.10115,267.4124466,4303.805496
271.4077168,4300.543413,267.1045032,4297.253999
271.1079075,4293.985699,266.7958164,4290.702536
270.8076234,4287.428008,266.487421,4284.151108
270.5068404,4280.870344,266.1784145,4277.599714
270.2055126,4274.312708,265.8687147,4271.048353
269.9035734,4267.755102,265.5583433,4264.497025
269.6009244,4261.197528,265.247311,4257.945728
269.2974621,4254.639989,264.93564,4251.394464
268.9930516,4248.082487,264.6233431,4244.84323
268.6875544,4241.525022,264.3104321,4238.292027
268.3808208,4234.967597,263.9969146,4231.740854
268.0726956,4228.410214,263.6827946,4225.189711
267.7630369,4221.852874,263.3680715,4218.638597
267.4517092,4215.295578,263.0527482,4212.087513
267.1385947,4208.738327,262.7368165,4205.536458
266.8235964,4202.181122,262.4202772,4198.985432
266.5066371,4195.623965,262.1031282,4192.434434
266.1876733,4189.066857,261.7853752,4185.883465
265.8666856,4182.509798,261.4670283,4179.332523
265.5436769,4175.95279,261.1481011,4172.781607
265.2186834,4169.395833,260.8286216,4166.230718
264.8917534,4162.83893,260.508617,4159.679853
264.5629578,4156.282082,260.188129,4153.129012
264.232374,4149.725289,259.8672018,4146.578194
263.9000951,4143.168554,259.5458847,4140.027397
263.5662079,4136.611877,259.2242296,4133.476619
263.2308042,4130.05526,258.9022889,4126.925859
262.893972,4123.498705,258.580112,4120.375115
262.5557868,4116.942212,258.257744,4113.824386
262.2163248,4110.385782,257.9352256,4107.273669
261.875641,4103.829416,257.6125864,4100.722963
261.5346962,4097.273116,257.2898483,4094.172267
261.1963529,4090.71688,256.9670219,4087.621579
260.8567769,4084.16071,256.6441083,4081.070898
260.5182188,4077.604605,256.3211014,4074.520224
260.180493,4071.048564,255.9979849,4067.969555
259.8415383,4064.492588,255.6747364,4061.41889
259.5013771,4057.936675,255.3513334,4054.868231
259.160033,4051.380824,255.0277485,4048.317575
258.8175325,4044.825035,254.703957,4041.766924
258.4739676,4038.269307,254.3799393,4035.216278
258.132461,4031.713637,254.0556807,4028.665635
257.7896624,4025.158027,253.7311709,4022.114998
257.4455636,4018.602474,253.40641,4015.564365
257.1001486,4012.046978,253.0814059,4009.013738
256.7534067,4005.491538,252.7561737,4002.463115
256.4053259,3998.936153,252.4320824,3995.912497
256.0558962,3992.380824,252.1087235,3989.361884
255.705111,3985.82555,251.7853418,3982.811277
255.352973,3979.27033,251.4619405,3976.260673
254.9994829,3972.715164,251.1385165,3969.710074
254.6446532,3966.160052,250.8150713,3963.15948
254.2884987,3959.604993,250.4916002,3956.608889
253.93104,3953.049988,250.1680964,3950.058301
253.5723072,3946.495034,249.8445548,3943.507717
253.2123285,3939.940132,249.5209647,3936.957136
252.8511479,3933.385281,249.1973167,3930.406558
252.4888044,3926.83048,248.8735957,3923.855984
252.1253446,3920.275727,248.5497931,3917.305412
251.7608192,3913.721022,248.2258928,3910.754845
251.3952801,3907.166362,247.9018856,3904.204282
251.0313045,3900.611747,247.5777601,3897.653724
250.6675795,3894.057175,247.2535096,3891.103171
250.3031846,3887.502644,246.9291291,3884.552624
249.9381518,3880.948153,246.604617,3878.002083
249.5725078,3874.3937,246.2799728,3871.451549
249.2062806,3867.839283,245.955202,3864.901022
248.8394972,3861.284903,245.6303115,3858.350504
248.472185,3854.730556,245.3053087,3851.799992
248.1043631,3848.176242,244.9802051,3845.249489
247.7360582,3841.621959,244.6550103,3838.698993
247.3672878,3835.067708,244.3297277,3832.148504
246.9980703,3828.513486,244.0043635,3825.598022
246.6284207,3821.959294,243.6789138,3819.047547
246.2583546,3815.405131,243.3533674,3812.497077
245.8878841,3808.850996,243.0277101,3805.946614
245.5170185,3802.296889,242.701912,3799.396156
245.1457699,3795.742809,242.3759376,3792.845704
244.7741411,3789.188758,242.049739,3786.295258
244.4021402,3782.634734,241.7232607,3779.744819
244.0297695,3776.080737,241.3964389,3773.194388
243.6570307,3769.526769,241.0692008,3766.643966
243.283923,3762.972828,240.7414726,3760.093557
242.9104425,3756.418917,240.4131787,3753.543162
242.5365845,3749.865034,240.084244,3746.992785
242.1623404,3743.311181,239.7545977,3740.442428
241.7877013,3736.757358,239.4241826,3733.892095
241.412652,3730.203566,239.0929459,3727.341789
241.0371781,3723.649807,238.7608574,3720.791515
240.6612617,3717.09608,238.4278988,3714.241274
240.2848861,3710.542388,238.094074,3707.69107
239.9080301,3703.988731,237.7594068,3701.140905
239.5306714,3697.43511,237.4239402,3694.59078
239.1527874,3690.881526,237.087741,3688.040696
238.7743597,3684.327981,236.7508901,3681.490653
238.3953645,3677.774475,236.4134895,3674.940651
238.015782,3671.22101,236.0756481,3668.390685
237.6355922,3664.667586,235.7374901,3661.840754
237.2547777,3658.114204,235.3991405,3655.290854
236.8733197,3651.560864,235.0607233,3648.740979
236.4912046,3645.007568,234.7223612,3642.191124
236.1084205,3638.454316,234.3841627,3635.641283
235.7249525,3631.901108,234.0462263,3629.091451
235.3407923,3625.347945,233.7086303,3622.541622
234.9559299,3618.794826,233.3714296,3615.991789
234.570358,3612.241752,233.0346574,3609.441948
234.1840686,3605.688724,232.6983195,3602.892094
233.7970563,3599.135741,232.3623967,3596.342224
233.4093133,3592.582803,232.0268428,3589.792336
233.0208349,3586.029911,231.6915849,3583.242428
232.6316165,3579.477064,231.3565292,3576.6925
232.2416513,3572.924264,231.0215624,3570.142555
231.8509354,3566.37151,230.6865549,3563.592595
231.4594641,3559.818803,230.3513666,3557.042623
231.0672342,3553.266143,230.0158481,3550.492645
230.6742403,3546.713529,229.6798544,3543.942666
230.2804816,3540.160964,229.34324,3537.392693
229.8859536,3533.608446,229.005873,3530.842733
229.4906568,3527.055975,228.6676372,3524.292793
229.0945896,3520.503553,228.328437,3517.74288
228.6977538,3513.95118,227.9882002,3511.193
228.3001499,3507.398854,227.646886,3504.643161
227.9017837,3500.846577,227.3044868,3498.093366
227.5026591,3494.294348,226.9610239,3491.543622
227.1027817,3487.742168,226.6165567,3484.993929
226.7021613,3481.190035,226.2711765,3478.44429
226.3008043,3474.63795,225.9250076,3471.894705
225.8987229,3468.085912,225.5782006,3465.345171
225.4959274,3461.533921,225.230929,3458.795686
225.0924311,3454.981976,224.883386,3452.246245
224.6882462,3448.430077,224.5357774,3445.696841
224.2833872,3441.878223,224.1883102,3439.147466
223.8778697,3435.326414,223.8411911,3432.598111
223.471709,3428.774648,223.4946142,3426.048768
223.0649199,3422.222924,223.1487553,3419.499425
222.6575221,3415.671243,222.8037652,3412.950073
222.2495335,3409.119602,222.4597629,3406.400701
221.8409688,3402.568002,222.1168321,3399.851302
221.4318512,3396.01644,221.7750122,3393.301867
221.022198,3389.464916,221.4343013,3386.752389
220.6120282,3382.913428,221.0946525,3380.202865
220.2013625,3376.361976,220.7559768,3373.65329
219.790221,3369.810558,220.4181424,3367.103665
219.3786221,3363.259174,220.0809793,3360.55399
218.966586,3356.707822,219.7442857,3354.00427
218.5541323,3350.156501,219.4078356,3347.45451
218.1412799,3343.605211,219.0713811,3340.904717
217.728048,3337.053949,218.7346662,3334.354901
217.3144541,3330.502715,218.3974324,3327.805071
216.9005153,3323.951509,218.059424,3321.255241
216.4862487,3317.400328,217.7204039,3314.705421
216.07167,3310.849174,217.3801532,3308.155625
215.6567936,3304.298044,217.0384861,3301.605865
215.2416316,3297.746938,216.6952508,3295.056153
214.826196,3291.195857,216.3503354,3288.5065
214.4104976,3284.644798,216.0036732,3281.956915
213.9945456,3278.093763,215.6552448,3275.407408
213.5783445,3271.54275,215.3070317,3268.857985
213.1619015,3264.99176,214.9589735,3262.308649
212.7452201,3258.440793,214.609168,3255.759404
212.3283019,3251.889848,214.2577003,3249.210248
211.9111478,3245.338926,213.9047017,3242.661178
211.4937585,3238.788026,213.5503363,3236.112188
211.0761329,3232.23715,213.1948097,3229.563272
210.658268,3225.686296,212.8383485,3223.014418
210.2401636,3219.135465,212.4812058,3216.465615
209.82182,3212.584657,212.1236451,3209.916849
209.4032376,3206.033872,211.7659337,3203.368106
208.984418,3199.48311,211.408337,3196.819368
208.5653659,3192.932369,211.0511068,3190.270622
208.1460925,3186.38165,210.6944774,3183.721851
207.7266067,3179.830951,210.3386539,3177.173041
207.3069261,3173.280271,209.9838103,3170.624178
206.8870715,3166.729608,209.6300779,3164.07525
206.4670687,3160.17896,209.2779337,3157.526248
206.0469478,3153.628326,208.9318595,3150.977164
205.6267464,3147.077701,208.5873851,3144.427994
205.2065035,3140.527084,208.2443918,3137.878735
204.7862663,3133.976471,207.9027159,3131.329387
204.3660839,3127.425859,207.5621506,3124.779956
203.9460082,3120.875243,207.2224546,3118.230445
203.5260955,3114.32462,206.8833544,3111.680864
203.106401,3107.773986,206.5445582,3105.131223
202.686982,3101.223337,206.2057569,3098.581534
202.2678933,3094.672669,205.8666323,3092.031811
201.84919,3088.121978,205.5268684,3085.482069
201.4309223,3081.571261,205.1861583,3078.932324
201.013136,3075.020515,204.8442045,3072.382591
200.5958714,3068.469737,204.5007295,3065.832888
200.1791631,3061.918925,204.1554833,3059.28323
199.7630415,3055.368076,203.8082384,3052.733633
199.3475237,3048.81719,203.4588013,3046.184111
198.9326242,3042.266265,203.107011,3039.634678
198.5183485,3035.715301,202.7527386,3033.085346
198.1046944,3029.164298,202.3958871,3026.536126
197.6916541,3022.613257,202.0363931,3019.987027
197.2820102,3016.062179,201.6742218,3013.438057
196.8743315,3009.511065,201.3097364,3006.88922
196.466972,3002.959916,200.9477444,3000.340521
196.0598905,2996.408734,200.5837682,2993.791963
195.6530446,2989.857522,200.2167658,2987.243545
195.2464041,2983.306282,199.8467826,2980.695267
194.8399393,2976.755015,199.4738867,2974.147128
194.43363,2970.203722,199.0981622,2967.599124
194.0274648,2963.652407,198.7197083,2961.051253
193.6214404,2957.10107,198.3386347,2954.503509
193.2155632,2950.549712,197.9550554,2947.95589
192.8098473,2943.998335,197.5690897,2941.40839
192.404315,2937.446937,197.1808546,2934.861006
191.9989954,2930.89552,196.7904607,2928.313733
191.5939273,2924.344083,196.3980194,2921.766569
191.1891531,2917.792624,196.0036296,2915.219511
190.7850852,2911.241144,195.6073891,2908.672556
190.3862827,2904.689639,195.2093802,2902.125702
189.9881054,2898.138108,194.8096867,2895.578948
189.5905888,2891.586549,194.4083803,2889.032293
189.1937669,2885.034959,194.0101589,2882.485735
188.7976701,2878.483337,193.6130341,2875.939274
188.4023245,2871.931679,193.2145493,2869.39291
188.0077543,2865.379983,192.8147289,2862.846641
187.6139794,2858.828247,192.41359,2856.300467
187.2210156,2852.276468,192.0111474,2849.754386
186.8288741,2845.724645,191.6074159,2843.208398
186.4375639,2839.172775,191.2024135,2836.6625
186.0470903,2832.620857,190.7961558,2830.116691
185.657451,2826.06889,190.3886643,2823.570968
185.2686427,2819.516873,189.9799671,2817.025328
184.8806582,2812.964805,189.5700901,2810.479768
184.4934864,2806.412685,189.1590703,2803.934284
184.107111,2799.860514,188.7469471,2797.388873
183.7215156,2793.308292,188.3337652,2790.84353
183.3366763,2786.756019,187.9195722,2784.298251
182.9525719,2780.203696,187.5044222,2777.753032
182.5691751,2773.651324,187.0883677,2771.207868
182.1864566,2767.098904,186.6714642,2764.662753
181.8043873,2760.546437,186.2537681,2758.117685
181.4229352,2753.993924,185.8353348,2751.572657
181.0420704,2747.441368,185.4162156,2745.027667
180.6617578,2740.888768,184.9964586,2738.482711
180.2819705,2734.336127,184.5761085,2731.937784
179.9026763,2727.783446,184.1552076,2725.392884
179.5238518,2721.230726,183.7337867,2718.848009
179.1454691,2714.67797,183.3118762,2712.303155
178.767509,2708.125178,182.8894996,2705.758322
178.3899528,2701.572352,182.4666691,2699.213509
178.0127868,2695.019493,182.0433987,2692.668714
177.6359968,2688.466602,181.6196908,2686.123939
177.259577,2681.91368,181.1955457,2679.579183
176.8835229,2675.360729,180.7709593,2673.034448
176.5078309,2668.80775,180.3459234,2666.489734
176.1325025,2662.254743,179.9204301,2659.945043
175.7575402,2655.70171,179.4944665,2653.400376
175.3829452,2649.148651,179.0680242,2646.855736
175.0087254,2642.595566,178.641093,2640.311124
174.6348844,2636.042457,178.2136632,2633.76654
174.2614283,2629.489323,177.7857303,2627.221987
173.8883612,2622.936166,177.3572923,2620.677465
173.5156879,2616.382985,176.9283501,2614.132975
173.1434116,2609.82978,176.4989087,2607.588517
172.7715336,2603.276553,176.0689775,2601.044091
172.4000555,2596.723302,175.6385691,2594.499695
172.0289721,2590.170028,175.2076982,2587.955331
171.6582848,2583.616731,174.7763833,2581.410996
171.2879861,2577.063412,174.3446472,2574.86669
170.918071,2570.510069,173.9125098,2568.32241
170.5485303,2563.956705,173.4799953,2561.778156
170.1793532,2557.403318,173.0471283,2555.233927
169.810529,2550.849909,172.6139307,2548.68972
169.4420432,2544.296478,172.1804281,2542.145535
169.0738823,2537.743027,171.7466372,2535.60137
168.7060301,2531.189555,171.3125829,2529.057225
168.3384677,2524.636063,170.8782799,2522.513098
167.9711757,2518.082552,170.4437458,2515.96899
167.6041346,2511.529022,170.0089967,2509.424899
167.2373245,2504.975476,169.5740458,2502.880824
166.8707224,2498.421913,169.1389043,2496.336766
166.5043086,2491.868336,168.703584,2489.792725
166.1380594,2485.314744,168.2680952,2483.248699
165.7719532,2478.76114,167.832449,2476.704689
165.4059732,2472.207524,167.3966525,2470.160695
165.0400989,2465.653897,166.9607167,2463.616716
164.6743136,2459.100262,166.5246487,2457.072753
164.3086042,2452.546619,166.0884553,2450.528805
163.9429614,2445.992969,165.6521458,2443.984872
163.5773767,2439.439313,165.2157242,2437.440954
163.211848,2432.885653,164.779194,2430.897051
162.8463772,2426.331989,164.342558,2424.353164
162.4809692,2419.778322,163.9058154,2417.809292
162.115634,2413.224652,163.468963,2411.265435
161.7503878,2406.670981,163.0319932,2404.721595
161.3852492,2400.117307,162.5948971,2398.177771
161.0202383,2393.56363,162.1576601,2391.633963
160.6553837,2387.009952,161.720267,2385.090174
160.2907124,2380.45627,161.2826983,2378.546404
159.926256,2373.902583,160.8449323,2372.002652
159.5620433,2367.348892,160.4069424,2365.458921
159.198107,2360.795194,159.9687072,2358.915211
158.8344799,2354.241488,159.5301982,2352.371523
158.4711898,2347.687771,159.091391,2345.827857
158.1082647,2341.134043,158.6522608,2339.284215
157.7457334,2334.5803,158.2127863,2332.740596
157.3836172,2328.02654,157.7729461,2326.197001
157.0219388,2321.472762,157.3327272,2319.653431
156.6607171,2314.918963,156.8921141,2313.109885
156.2999663,2308.36514,156.4511005,2306.566364
155.9397006,2301.811292,156.0096822,2300.022866
155.5799303,2295.257416,155.5678572,2293.479392
155.2206646,2288.703511,155.1256333,2286.93594
154.8619132,2282.149575,154.6830164,2280.39251
154.5036785,2275.595607,154.2400192,2273.849101
154.1459683,2269.041605,153.7966541,2267.305711
153.7887842,2262.487569,153.3529385,2260.762339
