x,f(x)
0.0,0
0.01,3.33346667206102e-9
0.02,5.33418680484857e-8
0.03,2.70097235421452e-7
0.04,8.53879820582370e-7
0.05,2.08541877693910e-6
0.06,4.32622987783706e-6
0.07,8.01905104019004e-6
0.08,1.36883766458044e-5
0.09,2.19410918806881e-5
0.1,3.34672085450533e-5
0.10999999999999999,4.90407040244552e-5
0.12,6.95204653566369e-5
0.13,9.58513405798049e-5
0.14,0.000129065299807555
0.15,0.000170282708744262
0.16,0.000220713717633752
0.17,0.000281659768924258
0.18,0.000354515227235723
0.19,0.000440769135532253
0.2,0.000542007101734493
0.21000000000000002,0.000659913320355539
0.21999999999999997,0.000796272734110495
0.22999999999999998,0.000952973340837021
0.24,0.00113200865147158
0.25,0.00133548030525907
0.26,0.00156560084882899
0.27,0.00182469668625825
0.28,0.00211521120775351
0.29000000000000004,0.00243970810513519
0.3,0.00280087488288695
0.31,0.00320152657415650
0.32,0.00364460967175509
0.33,0.00413320628491286
0.34,0.00467053853330167
0.35000000000000003,0.00525997319064861
0.36,0.00590502659112971
0.37,0.00660936981266416
0.38,0.00737683415222604
0.39,0.00821141690936328
0.4,0.00911728749526469
0.41000000000000003,0.0100987938859547
0.42000000000000004,0.0111604694395299
0.42999999999999994,0.0123070400987887
0.43999999999999995,0.0135434320021535
0.44999999999999996,0.0148747795274603
0.45999999999999996,0.0163064337949928
0.47,0.0178439716580952
0.48,0.0194932052118039
0.49,0.0212601918522295
0.5,0.0231512449218952
0.51,0.0251729449789220
0.52,0.0273321517308676
0.53,0.0296360166771896
0.54,0.0320919965077445
0.55,0.0347078673084746
0.56,0.0374917396295110
0.5700000000000001,0.0404520744753589
0.5800000000000001,0.0435977002816748
0.59,0.0469378309484281
0.6,0.0504820850050153
0.61,0.0542405059892086
0.62,0.0582235841287289
0.63,0.0624422794218105
0.64,0.0669080462214169
0.65,0.0716328594368895
0.66,0.0766292424768180
0.67,0.0819102970679321
0.68,0.0874897350969444
0.6900000000000001,0.0933819126356272
0.7000000000000001,0.0996018663241557
0.71,0.106165352304028
0.72,0.113088887909880
0.73,0.120389796349445
0.74,0.128086254622983
0.75,0.136197344958054
0.76,0.144743110062690
0.77,0.153744612530347
0.78,0.163223998763752
0.79,0.173204567822376
0.8,0.183710845640291
0.81,0.194768665108152
0.8200000000000001,0.206405252565681
0.8300000000000001,0.218649321310030
0.8400000000000001,0.231531172791692
0.8500000000000001,0.245082806244174
0.8599999999999999,0.259338037577665
0.8699999999999999,0.274332628461700
0.8799999999999999,0.290104426628956
