RiserSlack,Stress,YieldStrength
26.89,88.7,125
26.9,89.3,125
26.91,90,125
26.92,90.6,125
26.93,91.3,125
26.94,91.9,125
26.95,92.6,125
26.96,93.3,125
26.97,93.9,125
26.98,94.6,125
26.99,95.2,125
27,95.9,125
27.01,96.6,125
27.02,97.2,125
27.03,97.9,125
27.04,98.6,125
27.04,99.3,125
27.05,99.9,125
27.06,100.5,125
27.07,101,125
27.07,101.4,125
27.08,101.8,125
27.09,102.2,125
27.09,102.5,125
27.1,102.8,125
27.1,103,125
27.11,103.2,125
27.11,103.4,125
27.12,103.5,125
27.12,103.7,125
27.12,103.7,125
27.13,103.8,125
27.13,103.8,125
27.13,103.7,125
27.13,103.6,125
27.13,103.4,125
27.13,103.2,125
27.13,103,125
27.13,102.7,125
27.13,102.3,125
27.13,101.9,125
27.13,101.5,125
27.12,101,125
27.12,100.6,125
27.12,100.2,125
27.11,99.7,125
27.11,99.3,125
27.11,98.9,125
27.1,98.4,125
27.1,98,125
27.09,97.6,125
27.09,97.2,125
27.08,96.8,125
27.08,96.4,125
27.07,96,125
27.07,95.5,125
27.06,95.1,125
27.06,94.7,125
27.05,94.2,125
27.05,93.8,125
27.04,93.4,125
27.04,93,125
27.03,92.6,125
27.03,92.2,125
27.02,91.9,125
27.02,91.7,125
27.01,91.4,125
27.01,91.2,125
27.01,91,125
27,90.8,125
27,90.6,125
27,90.5,125
26.99,90.4,125
26.99,90.2,125
26.99,90.1,125
26.99,90,125
26.98,89.9,125
26.98,89.9,125
26.98,89.8,125
26.98,89.7,125
26.98,89.7,125
26.98,89.6,125
26.98,89.6,125
26.98,89.5,125
26.98,89.5,125
26.98,89.5,125
26.98,89.4,125
26.98,89.5,125
26.98,89.5,125
26.98,89.6,125
26.98,89.7,125
26.99,89.9,125
26.99,90.1,125
26.99,90.3,125
26.99,90.6,125
26.99,90.9,125
26.99,91.2,125
26.99,91.5,125
26.99,91.8,125
27,92.1,125
27,92.3,125
27,92.5,125
27,92.8,125
27,92.9,125
27.01,93.1,125
27.01,93.2,125
27.01,93.3,125
27.01,93.4,125
27.02,93.5,125
27.02,93.6,125
27.02,93.8,125
