Riser Stretch,Stress (Elastic),Yield Strength (125ksi)
0.04,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
