MooringLineLength,Static,Wind,Current,All
0,737.8346792,622.7316076,618.8372037,517.7799579
5,733.1615141,617.8926956,614.0950023,512.7021813
15,724.8490858,609.3155203,605.3364512,503.7483674
25,716.8528208,601.0430106,596.8035248,495.3258892
35,708.9418184,592.864872,588.3472003,486.5108945
45,701.1189156,584.7850368,579.9710117,477.7065017
55,693.3871488,576.8076361,571.6794884,469.0400321
65,685.749554,568.9370003,563.4767118,460.5139745
75,678.2093666,561.1775592,555.3667137,452.1208628
85,670.7698219,553.5340911,547.360046,443.8787151
95,663.4343045,546.0114241,539.4772653,435.8064953
105,659.7240141,542.2123869,535.5024767,431.7494804
115,659.5588147,542.043355,535.3354856,431.5731317
125,659.3936652,541.8743231,535.1683948,431.3963351
135,659.2285654,541.7053907,535.0012543,431.2190905
145,659.0635154,541.5365579,534.834064,431.0413481
155,658.8985649,541.3677748,534.6668737,430.8631578
165,658.7336145,541.1990416,534.4995839,430.6844698
175,658.5687635,541.0303581,534.3322941,430.5053338
185,658.4039624,540.8617741,534.1650042,430.3257498
195,658.239211,540.6932897,533.9977144,430.1457179
205,658.0745094,540.5248053,533.8303748,429.965238
215,657.9098576,540.3564204,533.6630352,429.7843101
225,657.7453053,540.1881351,533.4956956,429.6028845
235,657.5808028,540.0198498,533.3284057,429.4210607
245,657.4163003,539.851664,533.1610661,429.2387889
255,657.2518974,539.6835778,532.9937763,429.056119
265,657.087594,539.5155414,532.8264367,428.8730011
275,656.9232906,539.3475547,532.6591966,428.689485
285,656.7590369,539.1796178,532.4919068,428.5055707
295,656.5948829,539.0117805,532.3246667,428.321308
305,656.4307785,538.8440427,532.1574267,428.1365973
315,656.266724,538.6763049,531.9902364,427.9515382
325,656.1027192,538.5086666,531.8230959,427.7660809
335,655.9387643,538.3411279,531.6559553,427.5802752
345,655.7749088,538.173639,531.4888148,427.3940713
355,655.6110534,538.0061998,531.3217739,427.2074693
365,655.4472975,537.8388104,531.1547329,427.0205188
375,655.2835914,537.6715206,530.9877417,426.8331203
385,655.119935,537.5043303,530.8207505,426.6454232
395,654.9563782,537.33714,530.6538589,426.4572781
405,654.7928214,537.1700493,530.4869672,426.2687846
415,654.6293642,537.0030581,530.3201254,426.079893
425,654.4659567,536.8361167,530.1533333,425.8906529
435,654.302599,536.669225,529.9865909,425.7010146
445,654.1392911,536.5024329,529.8198486,425.5110279
455,653.9760329,536.3356906,529.6532058,425.3206928
465,653.8128743,536.1689981,529.4866128,425.1300092
475,653.6497655,536.0024051,529.3200198,424.9389773
485,653.4867064,535.8358618,529.1535264,424.7476467
495,653.3236971,535.6694182,528.9870827,424.5559677
505,653.1607376,535.5030243,528.8206888,424.3640398
515,652.9978279,535.3367299,528.6543447,424.1718133
525,652.8350177,535.1704355,528.4880005,423.9793379
535,652.6722573,535.0042905,528.3217559,423.7865639
545,652.5095466,534.8381455,528.1555611,423.5934912
555,652.3468858,534.6721,527.9894659,423.4002194
565,652.1843244,534.506154,527.8233706,423.206649
575,652.0217631,534.3402579,527.6573251,423.0128297
585,651.8593013,534.1744115,527.4913792,422.8187615
595,651.6968893,534.0086646,527.325483,422.6243948
605,651.5345271,533.8429676,527.1595868,422.4297791
615,651.3722147,533.6773203,526.9937902,422.2349145
625,651.2100018,533.5117725,526.8280931,422.0397514
635,651.0478386,533.3463243,526.6623961,421.8443393
645,650.8857253,533.1809259,526.4967985,421.6486286
655,650.7236617,533.0155772,526.3312508,421.4527188
665,650.5616479,532.8502783,526.1657528,421.2565104
675,650.3997336,532.685079,526.0003046,421.0600531
685,650.2378193,532.5199792,525.8349062,420.863347
695,650.0760046,532.3549292,525.6696073,420.6663919
705,649.9142397,532.189929,525.5043582,420.4692378
715,649.7525743,532.0250283,525.3391589,420.2718348
725,649.5909089,531.8601774,525.1740591,420.0742327
735,649.4293431,531.695426,525.0090091,419.8763817
745,649.267827,531.5307244,524.8440088,419.6783814
755,649.1063607,531.3660726,524.6790584,419.4801323
765,648.9449442,531.2015203,524.5142074,419.2817338
775,648.7836272,531.0370178,524.3494063,419.0830865
785,648.62236,530.8726148,524.1846549,418.8842898
795,648.4611426,530.7082617,524.0199533,418.685294
805,648.2999749,530.544008,523.8553513,418.4860992
815,648.138857,530.3798042,523.690799,418.286755
825,647.9778387,530.2156999,523.5263463,418.0871619
835,647.8168701,530.0516453,523.3619433,417.8874196
