Time Period (s),Surge,Sway,Heave,Roll,Pitch,Yaw
6.45,0.072,0.061,0.025,0.004,0.025,0.053
6.4,0.075,0.063,0.025,0.004,0.029,0.052
6.35,0.078,0.065,0.026,0.004,0.032,0.049
6.3,0.081,0.067,0.026,0.004,0.036,0.047
6.25,0.083,0.069,0.026,0.004,0.04,0.044
6.2,0.085,0.071,0.027,0.004,0.043,0.041
6.15,0.088,0.072,0.027,0.005,0.046,0.039
6.1,0.089,0.074,0.027,0.005,0.048,0.036
6.05,0.091,0.075,0.027,0.005,0.051,0.033
6,0.092,0.077,0.027,0.005,0.053,0.03
5.95,0.094,0.078,0.028,0.005,0.055,0.027
5.9,0.095,0.079,0.028,0.005,0.057,0.024
5.85,0.095,0.08,0.028,0.006,0.058,0.021
5.8,0.095,0.081,0.028,0.006,0.059,0.018
5.75,0.095,0.081,0.028,0.007,0.059,0.015
5.7,0.095,0.081,0.027,0.007,0.059,0.012
5.65,0.095,0.081,0.027,0.008,0.058,0.009
5.6,0.094,0.08,0.026,0.009,0.058,0.007
5.55,0.092,0.078,0.025,0.008,0.057,0.004
5.5,0.09,0.077,0.024,0.008,0.056,0.002
5.45,0.088,0.074,0.023,0.007,0.055,0.002
5.4,0.085,0.072,0.021,0.005,0.054,0.002
5.35,0.083,0.07,0.019,0.003,0.054,0.003
5.3,0.081,0.067,0.017,0.001,0.053,0.003
5.25,0.078,0.065,0.015,0.003,0.052,0.002
5.2,0.075,0.063,0.013,0.005,0.051,0.002
5.15,0.072,0.06,0.011,0.008,0.05,0.001
5.1,0.069,0.059,0.008,0.011,0.048,0.001
5.05,0.066,0.056,0.006,0.013,0.048,0.003
5,0.063,0.052,0.004,0.015,0.046,0.005
4.95,0.059,0.048,0.004,0.017,0.045,0.006
4.9,0.054,0.043,0.004,0.017,0.041,0.007
4.85,0.048,0.039,0.005,0.016,0.036,0.008
4.8,0.042,0.034,0.005,0.014,0.031,0.009
4.75,0.036,0.03,0.006,0.012,0.025,0.011
4.7,0.032,0.026,0.006,0.011,0.02,0.012
4.65,0.028,0.022,0.006,0.01,0.016,0.014
