MooringLineLength,Static,Wind,Current,All
2515,622.1274529,753.9335758,762.0061939,918.0391302
2525,621.977335,753.7843539,761.8572706,917.9035463
2535,621.8272669,753.6352315,761.7084468,917.767166
2545,621.6772984,753.4861091,761.5596231,917.6298898
2555,621.5273796,753.3370863,761.4108989,917.4917176
2565,621.3775604,753.1881132,761.2622245,917.35255
2575,621.2277909,753.0391899,761.1135998,917.2124865
2585,621.0780712,752.8903164,760.9650249,917.071527
2595,620.9284511,752.7414927,760.8164998,916.9296716
2605,620.7788808,752.5927685,760.6680245,916.7868207
2615,620.62941,752.4440443,760.5196487,916.6430739
2625,620.4799889,752.2954196,760.3712729,916.4984311
2635,620.3306177,752.1468447,760.2229967,916.3527929
2645,620.181346,751.9983196,760.0747702,916.2062588
2655,620.032124,751.8498443,759.9265936,916.0587291
2665,619.8829519,751.7014188,759.7784666,915.9103036
2675,619.7338793,751.5530927,759.6303895,915.7609821
2681.506024,618.6793709,750.5033627,758.58275,914.7105552
2684.518072,616.7283862,748.5597943,756.6428648,912.7658918
2687.53012,614.7895961,746.6262304,754.7129344,910.8291922
2690.542169,612.8630503,744.7028204,752.7931081,908.9006554
2693.554217,610.948948,742.789614,750.8833361,906.9802816
2696.566265,609.0473389,740.886661,748.9837678,905.0680707
2699.578313,607.1583226,738.9941108,747.0945026,903.1642218
2702.590361,605.2820981,737.112013,745.2155406,901.2686353
2705.60241,603.4187154,735.2404175,743.3470311,899.3815104
2708.614458,601.5683235,733.3794737,741.4890736,897.5029466
2711.626506,599.7310222,731.5291814,739.6416683,895.6329439
2714.638554,597.9069608,729.68969,737.8049145,893.7715023
2717.650602,596.0962387,727.8610494,735.9789118,891.9188209
2720.662651,594.2989555,726.0433092,734.1637599,890.0748997
2723.674699,592.5153104,724.2366188,732.3595084,888.2398382
2726.686747,590.7453531,722.441028,730.5662072,886.4138355
2729.698795,588.9892827,720.6565865,728.7840055,884.5966926
2732.710843,587.2470992,718.8834436,727.0129531,882.7888077
2735.722892,585.5190514,717.1216492,725.2531497,880.9899815
2738.73494,583.805239,715.371253,723.5046449,879.2005129
2741.746988,582.1057116,713.6324044,721.7675383,877.4203021
2744.759036,580.4206685,711.9052028,720.0419295,875.649648
2747.771084,578.7502091,710.1895985,718.3278682,873.8884509
2750.783133,577.0944827,708.4858403,716.6254539,872.1368103
2753.795181,575.4535889,706.7938786,714.9347863,870.3949255
2756.807229,573.827677,705.1139124,713.2559151,868.6627963
2759.819277,572.2168466,703.4459416,711.5888901,866.9405223
2762.831325,570.6212471,701.7901157,709.9339103,865.228203
2765.843373,569.0410276,700.1464844,708.2909758,863.5258386
2768.855422,567.4762877,698.5150974,706.6601861,861.8337275
2771.86747,565.9271271,696.8961041,705.0416408,860.1516708
2774.879518,564.3937448,695.289604,703.4353896,858.4800666
2777.891566,562.8761906,693.6955972,701.8415321,856.8187158
2780.903614,561.3746635,692.1142329,700.2602176,855.1678174
2783.915663,559.8892632,690.5456107,698.6913963,853.5274712
2786.927711,558.4200891,688.9897804,697.1352673,851.8977765
2789.939759,556.9672906,687.4468416,695.5918805,850.278833
2792.951807,555.5310668,685.9168936,694.0613353,848.6705411
2795.963855,554.1114177,684.3999865,692.5436815,847.0731994
2798.975904,552.7085922,682.8962694,691.0390187,845.4868079
2801.987952,551.3226399,681.4057423,689.5474464,843.9114663
2805,549.9537103,679.9286044,688.0690144,842.3471744
2808.012048,548.601903,678.4648557,686.603872,840.7941315
2811.024096,547.2674169,677.0145957,685.1520192,839.2522378
2814.036145,545.9503018,675.5779239,683.7136054,837.7217922
2817.048193,544.650757,674.15494,682.28873,836.202695
2820.060241,543.368832,672.7456936,680.8773931,834.6949959
2823.072289,542.1047261,671.3503341,679.4797938,833.1988942
2826.084337,540.858489,669.9688615,678.0958823,831.7144396
2829.096386,539.6303198,668.6014749,676.7258577,830.2415823
2832.108434,538.4203181,667.2481245,675.3697698,828.7805213
2835.120482,537.2285335,665.9090095,674.0276683,827.331207
2838.13253,536.0552151,664.5841795,672.6996528,825.8937886
2841.144578,534.9003628,663.2737342,671.3858228,824.4682662
2844.156627,533.7641756,661.9776735,670.086278,823.0546895
2847.168675,532.6467532,660.6961965,668.8010679,821.6532078
2850.180723,531.548195,659.429353,667.5302924,820.2637216
2853.192771,530.4686505,658.1771928,666.2740009,818.8864301
2856.204819,529.4082191,656.9398155,665.032343,817.5212833
2859.216867,528.3670004,655.7173205,663.8053186,816.1683809
2862.228916,527.3450939,654.5097577,662.5930771,814.8277726
2865.240964,526.3426988,653.3172763,661.3956681,813.4994585
2868.253012,525.359815,652.1398764,660.2131913,812.1834882
2871.26506,524.3966417,650.9777073,659.0456964,810.8799117
2874.277108,523.4532285,649.8308188,657.8932829,809.5887786
2877.289157,522.5297249,648.6992606,656.7560505,808.3101387
2880.301205,521.6262304,647.583182,655.6340489,807.0439423
2883.313253,520.7428445,646.4826329,654.5273278,805.7903387
2886.325301,519.879617,645.3977128,653.4360366,804.5492781
2889.337349,519.0366972,644.3284217,652.3601754,803.3208102
2892.349398,518.2142345,643.2749586,651.2998933,802.1049849
2895.361446,517.4122288,642.2372738,650.2552402,800.9018022
2898.373494,516.6308295,641.2155665,649.2262658,799.711262
2901.385542,515.8700863,640.2097867,648.2130698,798.5334639
2904.39759,515.1301486,639.2201337,647.2157516,797.368408
2907.409639,514.4111159,638.2466074,646.2343113,796.2160443
2910.421687,513.7129882,637.2892576,645.2688981,795.0764725
2913.433735,513.0359148,636.3482336,644.3195121,793.9496428
2916.445783,512.3799953,635.4235852,643.3863026,792.8356548
2919.457831,511.7452795,634.5153622,642.4692696,791.7344586
2922.46988,511.131817,633.6236641,641.5685625,790.6461041
2925.481928,510.5397573,632.7484909,640.6841313,789.5705912
2928.493976,512.1110673,631.8899919,639.8161753,788.5079698
2930,513.5572459,633.9559541,641.9054317,791.074607
