Mooring line length,Static,Wind,Current,All
0,739.0627489,572.3836885,588.1209285,449.2461256
5,734.3911267,567.4563284,583.3309442,441.4261098
15,726.0811871,558.7376461,574.5014156,431.388869
25,718.0874606,550.3167109,565.8978104,422.4238062
35,710.1789469,541.9944273,557.3728478,413.3989153
45,702.3583835,533.7753747,548.9303107,404.3317167
55,694.6289063,525.6644308,540.5751266,395.3646132
65,686.9934518,517.6666726,532.3116757,386.5317
75,679.4552553,509.7874259,524.1444874,377.8386014
85,672.0175522,502.0322156,516.0861545,369.3077157
95,664.6837769,494.4069648,508.156039,360.9626607
105,660.9743326,490.5593483,504.1588024,356.7728492
115,660.8091333,490.3881761,503.9907162,356.5881883
125,660.6440335,490.2171035,503.8224806,356.4030296
135,660.4789835,490.0460806,503.6541953,356.2173733
145,660.3139833,489.8751075,503.48591,356.0311943
155,660.1490328,489.704234,503.3175252,355.8445424
165,659.9841321,489.53346,503.1491403,355.6573679
175,659.8192812,489.362686,502.9807057,355.4696957
185,659.6545298,489.1920613,502.8122213,355.2815506
195,659.4898282,489.0214864,502.6437866,355.0929327
205,659.3251764,488.8509612,502.4753022,354.9038419
215,659.1605744,488.6805356,502.3068178,354.7143281
225,658.9960221,488.5101598,502.1383334,354.5243663
235,658.8315196,488.3398836,501.969849,354.3339814
245,658.6671166,488.1696571,501.8013646,354.1432232
255,658.5027137,487.9995301,501.6328802,353.9521166
265,658.3384103,487.829453,501.4644456,353.7606367
275,658.1741566,487.6594256,501.2960109,353.5688083
285,658.0099528,487.4895475,501.1275763,353.3766565
295,657.8458485,487.3196694,500.9591914,353.1841562
305,657.6817442,487.1498909,500.7908066,352.9913075
315,657.5177394,486.9802119,500.6224715,352.7981353
325,657.3537844,486.8105827,500.4541364,352.6045897
335,657.1898792,486.6410531,500.2858511,352.4106709
345,657.0260237,486.4715732,500.1176156,352.2163788
355,656.8622181,486.3021928,499.94938,352.0216884
365,656.698512,486.1328623,499.7811943,351.8266248
375,656.5348058,485.9635815,499.6130583,351.6312128
385,656.3711993,485.7944002,499.4449223,351.4354025
395,656.2076425,485.6253186,499.2768858,351.2392688
405,656.0441354,485.4562866,499.1088494,351.0427866
415,655.8806782,485.2873543,498.9408627,350.845956
425,655.7173205,485.1184717,498.7729258,350.6488267
435,655.5540126,484.9496886,498.6050387,350.4513988
445,655.3907544,484.7809553,498.4372014,350.2536972
455,655.227546,484.6123216,498.2694138,350.0557467
465,655.0643874,484.4437377,498.101676,349.8575473
475,654.9012786,484.2752532,497.933988,349.6590742
485,654.7382693,484.1068186,497.7663995,349.460377
495,654.57526,483.9384835,497.598811,349.2614062
505,654.4123503,483.7701982,497.4312723,349.0621864
515,654.2494903,483.6020125,497.2637834,348.862668
525,654.0867299,483.4338765,497.096394,348.6628759
535,653.9239695,483.26584,496.9290544,348.4627851
545,653.7613086,483.0978534,496.7617645,348.2623957
555,653.5986975,482.9299662,496.5944747,348.0617076
565,653.4361362,482.7621787,496.4273342,347.860696
575,653.2736247,482.5944409,496.2601937,347.6594106
585,653.1111629,482.4267528,496.0931527,347.4578017
595,652.9488007,482.2592141,495.9261117,347.2559191
605,652.7864882,482.0916754,495.7591703,347.0537378
615,652.6242255,481.9242363,495.5922787,346.8512828
625,652.4620126,481.7568967,495.4254866,346.6485789
635,652.2998495,481.5896068,495.2587443,346.4456012
645,652.1377859,481.4224165,495.0920517,346.2423995
655,651.9757721,481.255276,494.9254089,346.0389739
665,651.8138081,481.0882351,494.7588159,345.8353492
675,651.6518938,480.9212936,494.5923225,345.6315253
685,651.4900293,480.754402,494.4258788,345.4275522
695,651.3282146,480.5875601,494.2595347,345.2234048
705,651.1664994,480.4208178,494.0931905,345.0190833
715,651.004834,480.254175,493.926946,344.8146124
725,650.8432184,480.087582,493.7608009,344.6099922
735,650.6817023,479.9210886,493.5947057,344.4051978
745,650.5201863,479.7546449,493.4286602,344.2002043
755,650.3587698,479.5883008,493.2626645,343.9950366
765,650.197403,479.4220562,493.0967683,343.7896449
775,650.036086,479.2558614,492.9309219,343.5840541
785,649.8748188,479.0897661,492.7651253,343.3782393
795,649.7136512,478.9237206,492.5994282,343.1722005
805,649.5525333,478.7577249,492.4338307,342.9659627
815,649.3914652,478.5918785,492.2682331,342.7595257
825,649.2304469,478.4260819,492.1027352,342.5528648
835,649.0694783,478.260335,491.9373367,342.3460296
845,648.9086093,478.0946877,491.7719881,342.1390203
855,648.74779,477.92914,491.6066892,341.9318367
865,648.5870206,477.763642,491.4414401,341.724479
875,648.4263009,477.5982436,491.2763403,341.5169968
885,648.265631,477.4328949,491.1112405,341.3093652
895,648.1050606,477.2676458,490.9462403,341.1015844
905,647.94454,477.1024963,490.7812898,340.8936791
915,647.7840692,476.9373965,490.6164389,340.6856494
925,647.6236481,476.7723962,490.4516875,340.4774704
935,647.4633266,476.6074458,490.2869362,340.2691918
945,647.3030051,476.4425948,490.1222843,340.0607888
955,647.1427832,476.2777937,489.9577321,339.8522862
965,646.9826608,476.1131419,489.7932296,339.643709
975,646.8225384,475.9484901,489.6288266,339.4350073
985,646.6625155,475.7839876,489.4644734,339.226231
995,646.5025424,475.6194851,489.30017,339.0173551
1005,646.3426191,475.4551319,489.1359662,338.8084295
1015,646.1827456,475.2908285,488.9718121,338.5994043
1025,646.0229716,475.1266246,488.8077576,338.3903045
1035,645.8631976,474.9624705,488.6438026,338.1811299
1045,645.7035232,474.798416,488.4798973,337.9719057
1055,645.5439483,474.634461,488.3160419,337.7626067
1065,645.3843734,474.4705558,488.152286,337.5532331
1075,645.2248981,474.3067501,487.9885799,337.3438346
1085,645.0654725,474.1429942,487.8249733,337.1343863
1095,644.9060967,473.9793379,487.6614165,336.9248883
1105,644.7467707,473.8157811,487.4979593,336.7153654
1115,644.5875442,473.6522741,487.3345518,336.5058176
1125,644.4283675,473.4888666,487.1712439,336.2962449
1135,644.2692406,473.3255587,487.0080355,336.0866722
1145,644.1101634,473.1623005,486.8448271,335.8770995
1155,643.9511858,472.9991419,486.681768,335.6675268
1165,643.792258,472.8360331,486.5187588,335.4579541
1175,643.6333799,472.6730238,486.3557992,335.2484062
1185,643.4745516,472.510114,486.1929393,335.0388833
1195,643.3158229,472.3472541,486.0301789,334.8293853
1205,643.1570942,472.1844937,485.8674682,334.6199619
1215,642.998465,472.0218328,485.7048074,334.4106132
1225,642.8399353,471.8592217,485.5422958,334.2014138
1235,642.6814057,471.6967101,485.3797843,333.9924135
1245,642.5229756,471.5342484,485.2173723,333.7836869
1255,642.3645953,471.3718861,485.0550598,333.5737409
1265,642.2062647,471.2096235,484.8928469,333.3646162
1275,642.0480337,471.0474603,484.7306838,333.1555412
1285,641.8898525,470.885347,484.5685704,332.9465409
1295,641.7317211,470.7233332,484.4065566,332.7376153
1305,641.5736394,470.5613691,484.2446423,332.5287643
1315,641.4156075,470.3995047,484.0827779,332.319988
1325,641.2576751,470.2377397,483.9210129,332.1113112
1335,641.0997925,470.0760245,483.7593475,331.9027091
1345,640.9420095,469.9144587,483.5977319,331.6942314
