Mooring line length,Static,Wind,Current,All
0,739.876103,937.9191952,915.8511723,1123.08988
5,735.2054763,933.4546819,911.297763,1118.920226
15,726.8971792,925.4752405,903.5311544,1110.916495
25,718.905145,917.8242068,896.1903112,1105.429528
35,710.9982241,910.2454447,888.9380654,1099.113229
45,703.1792535,902.7407461,881.776408,1092.582306
55,695.4512694,895.3122014,874.7068322,1086.152224
65,687.8172086,887.9615029,867.7310302,1079.839808
75,680.2803561,880.6906417,860.8512917,1073.605437
85,672.8438973,873.5017082,854.0696077,1067.435672
95,665.5112668,866.3965939,847.3666659,1061.325139
105,661.8023203,862.7959552,843.9616383,1058.223532
115,661.6371707,862.6354844,843.7993756,1058.096012
125,661.4720709,862.4751131,843.6372125,1057.969686
135,661.3070707,862.3147418,843.4751489,1057.844654
145,661.1420704,862.1544701,843.3132844,1057.720817
155,660.9771697,861.9941984,843.1515195,1057.598074
165,660.812269,861.8340262,842.9898541,1057.476726
175,660.6474679,861.673854,842.8282883,1057.356472
185,660.4827165,861.5136818,842.6669215,1057.237413
195,660.3180149,861.3536092,842.5055548,1057.119549
205,660.1534129,861.1935366,842.3442876,1057.002879
215,659.9888108,861.0335635,842.1831199,1056.887503
225,659.8243083,860.87369,842.0220518,1056.773222
235,659.6598556,860.7137169,841.8610832,1056.660136
245,659.4954527,860.5539429,841.7001147,1056.548344
255,659.3310995,860.3940693,841.5393452,1056.437647
265,659.1667961,860.2343949,841.3785758,1056.328244
275,659.0025922,860.0746209,841.2179058,1056.220036
285,658.8383884,859.9149465,841.0573355,1056.113022
295,658.6742841,859.7553716,840.8968646,1056.007203
305,658.5102295,859.5957967,840.7363938,1055.902579
315,658.3462248,859.4362218,840.5760226,1055.799149
325,658.1822698,859.2767465,840.4157508,1055.696814
335,658.0184143,859.1173707,840.2555787,1055.595773
345,657.8545589,858.9579949,840.0954065,1055.495927
355,657.690803,858.7986191,839.9353338,1055.397175
365,657.5270969,858.6393428,839.7753608,1055.299619
375,657.3634405,858.4800666,839.6154872,1055.203157
385,657.199834,858.3208899,839.4556137,1055.107989
395,657.0363269,858.1617132,839.2957402,1055.013817
405,656.8728199,858.0025365,839.1360657,1054.920939
415,656.7094124,857.8435589,838.9763913,1054.829057
425,656.5460547,857.6844817,838.8168164,1054.738369
435,656.3827468,857.5255041,838.6572415,1054.648776
445,656.2194886,857.3666261,838.4977662,1054.560278
455,656.05633,857.207748,838.3382908,1054.472875
465,655.8931714,857.0488699,838.178915,1054.386567
475,655.7301124,856.8900914,838.0196388,1054.301355
485,655.5671031,856.7313129,837.8604621,1054.217237
495,655.4041436,856.572634,837.7012854,1054.134115
505,655.2412836,856.4140545,837.5421087,1054.051988
515,655.0784236,856.2553756,837.3830315,1053.970956
525,654.9156632,856.0968957,837.2240539,1053.891019
535,654.7529526,855.9383163,837.0650763,1053.811978
545,654.5902917,855.779936,836.9061982,1053.734033
555,654.4276806,855.6214561,836.7474197,1053.656983
565,654.2651691,855.4630758,836.5886412,1053.581028
575,654.1026575,855.304795,836.4298627,1053.505969
585,653.9402455,855.1465142,836.2712833,1053.432005
595,653.7778833,854.988333,836.1126043,1053.358937
605,653.6155708,854.8301518,835.9541245,1053.286765
615,653.4533579,854.6719706,835.7956446,1053.215588
625,653.291145,854.5138889,835.6371647,1053.145208
635,653.1290317,854.3558072,835.4787844,1053.075823
645,652.9669681,854.1978251,835.3204041,1053.007434
655,652.8049543,854.0399425,835.1622229,1052.939742
665,652.6429903,853.8819604,835.0039421,1052.873045
675,652.4811258,853.7241773,834.8458106,1052.807144
685,652.3193111,853.5663943,834.6876792,1052.74204
695,652.1575461,853.4086113,834.5296473,1052.677832
705,651.9958309,853.2508282,834.3716154,1052.61442
715,651.8341656,853.0932443,834.213683,1052.551805
725,651.6725997,852.9355608,834.0558004,1052.489886
735,651.5110339,852.7779769,833.8979676,1052.428863
745,651.3495676,852.6204925,833.7401846,1052.368537
755,651.188151,852.4630081,833.5824513,1052.308908
765,651.0268341,852.3056232,833.4247679,1052.250076
775,650.8655171,852.1482384,833.2671341,1052.192039
785,650.7042997,851.9908536,833.1095502,1052.1346
795,650.543132,851.8335683,832.952016,1052.077958
805,650.3820141,851.6763825,832.7945814,1052.022012
815,650.220946,851.5191968,832.6371468,1051.966763
825,650.0599775,851.362011,832.479762,1051.912211
